Date,Price,Open,High,Low,Change %
03/18/2021,"5,735.69","5,747.64","5,770.71","5,722.02",-0.18%
03/17/2021,"5,746.17","5,747.12","5,750.18","5,718.07",-0.05%
03/16/2021,"5,749.08","5,708.80","5,749.08","5,705.38",0.72%
03/15/2021,"5,707.83","5,685.91","5,708.14","5,677.19",0.42%
03/14/2021,"5,683.96","5,636.83","5,686.48","5,636.34",0.84%
03/11/2021,"5,636.83","5,606.75","5,636.83","5,595.63",0.54%
03/10/2021,"5,606.82","5,582.93","5,608.38","5,572.54",0.42%
03/09/2021,"5,583.11","5,685.09","5,687.04","5,551.34",-1.79%
03/08/2021,"5,685.09","5,691.95","5,709.10","5,682.10",-0.11%
03/07/2021,"5,691.46","5,693.73","5,715.93","5,691.46",-0.02%
03/04/2021,"5,692.75","5,701.48","5,713.68","5,688.93",-0.12%
03/03/2021,"5,699.52","5,710.51","5,712.97","5,688.34",-0.19%
03/02/2021,"5,710.51","5,662.29","5,728.28","5,662.29",0.84%
03/01/2021,"5,663.04","5,664.87","5,691.56","5,655.00",-0.01%
02/28/2021,"5,663.62","5,628.56","5,666.27","5,604.38",0.63%
02/25/2021,"5,627.99","5,631.49","5,663.24","5,626.79",-0.03%
02/24/2021,"5,629.53","5,670.93","5,673.25","5,629.22",-0.73%
02/23/2021,"5,670.93","5,662.99","5,690.10","5,662.59",0.17%
02/22/2021,"5,661.52","5,656.64","5,670.89","5,649.37",0.09%
02/21/2021,"5,656.64","5,641.87","5,658.04","5,641.87",0.24%
02/18/2021,"5,642.85","5,638.19","5,652.82","5,638.19",0.12%
02/17/2021,"5,636.24","5,663.45","5,663.67","5,633.36",-0.49%
02/16/2021,"5,663.86","5,648.18","5,676.19","5,645.70",0.27%
02/15/2021,"5,648.58","5,666.47","5,667.78","5,642.15",-0.31%
02/14/2021,"5,666.09","5,668.01","5,671.16","5,646.51",-0.02%
02/11/2021,"5,667.03","5,665.10","5,668.67","5,642.93",0.00%
02/10/2021,"5,666.80","5,662.08","5,669.04","5,631.91",0.07%
02/09/2021,"5,662.57","5,655.26","5,683.64","5,654.78",0.12%
02/08/2021,"5,655.56","5,672.03","5,698.66","5,655.55",-0.29%
02/07/2021,"5,672.03","5,663.63","5,679.44","5,662.19",0.14%
02/04/2021,"5,664.10","5,674.46","5,689.70","5,659.85",-0.19%
02/03/2021,"5,674.67","5,698.15","5,703.57","5,674.60",-0.41%
02/02/2021,"5,698.15","5,635.17","5,698.15","5,635.17",1.12%
02/01/2021,"5,634.76","5,593.97","5,671.33","5,593.16",0.74%
01/31/2021,"5,593.48","5,640.56","5,640.56","5,592.71",-0.86%
01/28/2021,"5,641.77","5,660.37","5,660.37","5,594.45",-0.35%
01/27/2021,"5,661.84","5,583.16","5,661.84","5,580.49",1.42%
01/26/2021,"5,582.68","5,617.85","5,622.78","5,566.41",-0.63%
01/25/2021,"5,617.85","5,613.17","5,654.04","5,607.88",0.08%
01/24/2021,"5,613.17","5,608.86","5,628.76","5,573.15",0.03%
01/21/2021,"5,611.30","5,676.64","5,694.28","5,604.52",-1.14%
01/20/2021,"5,676.15","5,665.06","5,713.38","5,638.47",0.25%
01/19/2021,"5,661.85","5,492.02","5,669.11","5,492.02",3.14%
01/18/2021,"5,489.57","5,279.49","5,489.57","5,272.71",3.97%
01/17/2021,"5,279.98","5,266.72","5,287.45","5,234.00",0.25%
01/14/2021,"5,266.72","5,290.73","5,291.06","5,266.17",-0.45%
01/13/2021,"5,290.73","5,257.19","5,302.82","5,255.60",0.62%
01/12/2021,"5,258.17","5,239.50","5,258.17","5,228.85",0.40%
01/11/2021,"5,237.48","5,176.11","5,242.86","5,175.07",1.19%
01/10/2021,"5,176.11","5,163.75","5,187.73","5,163.43",0.24%
01/07/2021,"5,163.75","5,129.28","5,163.95","5,111.93",0.68%
01/06/2021,"5,128.79","5,143.52","5,143.52","5,109.53",-0.29%
01/05/2021,"5,143.52","5,115.46","5,143.52","5,100.04",0.55%
01/04/2021,"5,115.46","5,079.04","5,118.65","5,079.04",0.72%
01/03/2021,"5,079.10","5,045.32","5,084.18","5,045.19",0.67%
12/31/2020,"5,045.32","5,088.60","5,093.04","5,032.34",-0.84%
12/30/2020,"5,088.09","5,100.06","5,104.45","5,065.32",-0.21%
12/29/2020,"5,099.04","5,106.31","5,117.28","5,076.11",-0.14%
12/28/2020,"5,106.31","5,097.11","5,128.78","5,097.11",0.20%
12/27/2020,"5,095.94","5,126.16","5,129.48","5,095.83",-0.59%
12/24/2020,"5,125.93","5,142.32","5,147.27","5,096.10",-0.32%
12/23/2020,"5,142.32","5,111.83","5,153.62","5,111.83",0.64%
12/22/2020,"5,109.61","5,073.16","5,109.71","5,065.05",0.72%
12/21/2020,"5,073.16","5,109.19","5,109.19","5,025.65",-0.79%
12/20/2020,"5,113.77","5,135.73","5,160.82","5,113.56",-0.42%
12/17/2020,"5,135.22","5,153.89","5,158.85","5,134.51",-0.36%
12/16/2020,"5,153.89","5,132.03","5,153.89","5,124.88",0.41%
12/15/2020,"5,132.87","5,154.09","5,156.68","5,132.01",-0.41%
12/14/2020,"5,154.09","5,140.57","5,160.70","5,137.66",0.26%
12/13/2020,"5,140.57","5,109.19","5,150.14","5,106.80",0.61%
12/10/2020,"5,109.19","5,076.99","5,143.27","5,073.53",0.63%
12/09/2020,"5,076.99","5,062.39","5,090.23","5,062.19",0.29%
12/08/2020,"5,062.39","5,044.44","5,069.68","5,036.26",0.40%
12/07/2020,"5,042.43","5,035.93","5,042.47","5,008.92",0.18%
12/06/2020,"5,033.38","4,965.45","5,034.20","4,965.45",1.38%
11/30/2020,"4,964.94","4,986.30","4,998.65","4,935.65",-0.42%
11/29/2020,"4,985.88","4,973.04","4,991.10","4,955.72",0.28%
11/26/2020,"4,971.93","4,989.13","4,989.36","4,953.76",-0.34%
11/25/2020,"4,989.13","4,946.86","4,989.13","4,945.03",0.85%
